Player,GP,MIN,PTS,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,Height,Pos,TEAM,Class
Mason Plumlee: 2018,82.0,21.1,7.8,59.3,0.1,20.0,6.4,3.0,1.5,0.8,0.9,4.9,63.3,0.3,26.9,3.3,1.3,83.0,C,DEN,3
Maurice Harkless: 2018,60.0,23.6,7.7,48.7,2.0,27.5,4.5,1.2,0.8,1.1,0.9,4.3,60.5,0.3,25.0,1.5,1.5,81.0,SF,POR,2
Maxi Kleber: 2018,71.0,21.2,6.8,45.3,3.1,35.3,4.6,1.0,0.8,0.5,1.1,2.0,60.0,0.4,40.0,0.6,1.2,83.0,PF,DAL,1
Mikal Bridges: 2018,82.0,29.5,8.3,43.0,3.8,33.5,3.2,2.1,0.9,1.6,0.5,2.7,59.3,0.4,33.3,0.2,2.6,79.0,SF,PHX,1
Mike Conley: 2018,70.0,33.5,21.1,43.8,6.1,36.4,3.4,6.4,1.9,1.3,0.3,7.1,50.7,2.8,44.2,0.1,13.3,73.0,PG,MEM,0
Mike Muscala: 2018,64.0,20.4,7.0,40.2,4.0,34.8,3.8,1.2,0.8,0.3,0.6,1.2,50.0,0.5,51.7,0.3,0.4,83.0,PF,LAL,1
Miles Bridges: 2018,80.0,21.2,7.5,46.4,2.5,32.5,4.0,1.2,0.6,0.7,0.6,3.6,55.6,0.4,25.0,0.6,2.6,79.0,SF,CHA,1
Monte Morris: 2018,82.0,24.0,10.4,49.3,2.8,41.4,2.4,3.6,0.6,0.9,0.0,4.2,54.8,1.7,45.7,0.1,5.4,75.0,PG,DEN,1
Montrezl Harrell: 2018,82.0,26.3,16.6,61.5,0.2,17.6,6.5,2.0,1.6,0.9,1.3,10.2,63.7,0.4,36.1,3.9,1.5,80.0,C,LAC,3
Nemanja Bjelica: 2018,77.0,23.2,9.6,47.9,3.3,40.1,5.8,1.9,1.1,0.7,0.7,4.1,53.7,0.3,31.8,1.0,2.9,82.0,PF,SAC,2
Nicolas Batum: 2018,75.0,31.4,9.3,45.0,4.0,38.9,5.2,3.3,1.6,0.9,0.6,2.4,58.3,1.2,35.6,0.2,3.3,80.0,SF,CHA,2
Noah Vonleh: 2018,68.0,25.3,8.4,47.0,2.0,33.6,7.8,1.9,1.3,0.7,0.8,4.0,57.5,0.4,35.7,2.7,2.4,81.0,PF,NYK,2
OG Anunoby: 2018,67.0,20.2,7.0,45.3,3.0,33.2,2.9,0.7,0.8,0.7,0.3,2.8,57.1,0.3,41.2,0.3,2.3,80.0,SF,TOR,1
PJ Tucker: 2018,82.0,34.2,7.3,39.6,4.7,37.7,5.8,1.2,0.8,1.6,0.5,1.6,43.8,0.1,33.3,0.1,1.3,78.0,PF,HOU,1
Pascal Siakam: 2018,80.0,31.8,16.9,54.9,2.7,36.9,6.9,3.1,1.9,0.9,0.7,8.5,61.2,0.6,43.8,2.3,7.6,81.0,PF,TOR,2
Pat Connaughton: 2018,61.0,20.7,6.9,46.6,3.3,33.0,4.2,2.0,0.5,0.5,0.4,2.3,65.2,0.2,60.0,0.0,2.4,76.0,SG,MIL,1
Patrick Beverley: 2018,78.0,27.4,7.6,40.7,3.6,39.7,5.0,3.8,1.1,0.9,0.6,2.4,41.7,0.1,27.3,0.0,5.0,73.0,PG,LAC,1
Patty Mills: 2018,82.0,23.3,9.9,42.5,4.9,39.4,2.2,3.0,1.1,0.6,0.1,1.5,66.7,1.6,34.4,0.0,3.7,72.0,PG,SAS,1
Paul George: 2018,77.0,36.9,28.0,43.8,9.8,38.6,8.2,4.1,2.7,2.2,0.4,7.1,52.1,4.1,41.5,1.5,10.0,81.0,SF,OKC,0
Paul Millsap: 2018,70.0,27.1,12.6,48.4,2.3,36.5,7.2,2.0,1.4,1.2,0.8,6.1,54.1,1.1,42.5,3.2,3.1,80.0,PF,DEN,2
Rajon Rondo: 2018,46.0,29.8,9.2,40.5,3.1,35.9,5.3,8.0,2.8,1.2,0.2,5.2,44.2,1.0,34.0,0.1,9.9,73.0,PG,LAL,4
Reggie Bullock: 2018,63.0,29.8,11.3,41.2,6.2,37.7,2.7,2.0,1.0,0.6,0.2,2.0,40.0,1.2,53.2,0.0,2.1,79.0,SG,LAL,1
Reggie Jackson: 2018,82.0,27.9,15.4,42.1,5.7,36.9,2.6,4.2,1.8,0.7,0.1,5.0,48.0,2.1,42.9,0.2,8.8,75.0,PG,DET,4
Ricky Rubio: 2018,68.0,27.9,12.7,40.4,3.7,31.1,3.6,6.1,2.6,1.3,0.1,4.3,48.8,2.7,38.8,0.0,12.0,76.0,PG,UTA,4
Robert Covington: 2018,35.0,34.4,13.3,43.1,6.4,37.8,5.5,1.3,1.3,2.1,1.3,2.9,55.2,1.1,40.5,0.1,2.3,81.0,SF,MIN,2
Robin Lopez: 2018,74.0,21.7,9.5,56.8,0.4,22.6,3.9,1.2,1.3,0.1,1.1,6.1,62.3,0.7,30.8,4.0,0.8,84.0,C,CHI,3
Rodions Kurucs: 2018,63.0,20.5,8.5,45.0,2.9,31.5,3.9,0.8,1.2,0.7,0.4,4.0,55.0,0.3,37.5,0.1,3.2,81.0,SF,BKN,1
Rodney Hood: 2018,72.0,26.3,11.2,43.5,3.3,35.6,2.2,1.8,0.8,0.8,0.2,3.3,51.5,2.7,44.6,0.6,4.4,80.0,SG,POR,1
Rondae Hollis-Jefferson: 2018,59.0,20.9,8.9,41.1,0.8,18.4,5.3,1.6,1.2,0.7,0.5,6.7,44.8,0.8,26.1,1.7,4.3,79.0,SF,BKN,1
Royce O'Neale: 2018,82.0,20.4,5.2,47.5,2.1,38.6,3.5,1.5,0.9,0.7,0.3,1.9,57.9,0.1,20.0,0.0,2.8,78.0,SF,UTA,1
Rudy Gobert: 2018,81.0,31.8,15.9,66.9,0.0,0.0,12.9,2.0,1.6,0.8,2.3,8.6,67.4,0.1,9.1,0.7,0.7,85.0,C,UTA,3
Ryan Arcidiacono: 2018,81.0,24.2,6.7,44.7,2.7,37.3,2.7,3.3,0.8,0.8,0.0,2.0,55.0,0.5,43.6,0.0,5.2,75.0,PG,CHI,1
Serge Ibaka: 2018,74.0,27.2,15.0,52.9,2.3,29.0,8.1,1.3,1.5,0.4,1.4,6.6,62.1,3.0,49.1,2.0,1.5,82.0,C,TOR,2
Shai Gilgeous-Alexander: 2018,82.0,26.5,10.8,47.6,1.7,36.7,2.8,3.3,1.7,1.2,0.5,5.2,51.9,1.9,46.2,0.2,10.4,78.0,PG,LAC,4
Shelvin Mack: 2018,57.0,21.9,7.5,40.4,2.3,35.4,1.8,3.2,1.2,0.8,0.1,3.5,48.6,1.2,26.1,0.1,6.7,75.0,PG,CHA,1
Spencer Dinwiddie: 2018,68.0,28.1,16.8,44.2,5.4,33.5,2.4,4.6,2.2,0.6,0.3,6.1,54.1,0.7,40.4,0.0,14.1,78.0,PG,BKN,4
