Player,CS_3PA,CS_3P%
Patrick Beverley,2.7,41.0
Patrick McCaw,0.9,36.0
Patrick Patterson,2.1,34.3
Patty Mills,3.0,42.4
Pau Gasol,0.4,46.2
Paul George,5.4,40.0
Paul Millsap,2.0,38.7
Quincy Acy,1.5,13.3
Quincy Pondexter,0.3,35.7
Quinn Cook,1.6,46.6
RJ Hunter,7.0,42.9
Rajon Rondo,1.5,32.8
Raul Neto,1.1,35.7
Rawle Alkins,0.8,37.5
Ray Spalding,0.2,0.0
Raymond Felton,1.3,38.6
Reggie Bullock,5.5,38.7
Reggie Jackson,3.9,39.6
Richaun Holmes,-,-
Ricky Rubio,2.7,33.7
Robert Covington,5.5,39.4
Robert Williams III,-,-
Robin Lopez,0.4,22.6
Rodions Kurucs,2.7,31.4
Rodney Hood,2.0,34.5
Rodney McGruder,2.9,36.1
Ron Baker,0.7,10.0
Rondae Hollis-Jefferson,0.7,20.5
Royce O'Neale,1.9,40.4
Rudy Gay,2.2,39.2
Rudy Gobert,-,-
Russell Westbrook,2.3,32.1
Ryan Anderson,1.5,23.7
Ryan Arcidiacono,2.0,42.0
Ryan Broekhoff,2.0,40.0
Salah Mejri,0.7,30.8
Sam Dekker,1.0,32.7
Scott Machado,0.0,-
Semi Ojeleye,1.4,32.9
Serge Ibaka,2.2,29.3
Seth Curry,2.1,49.7
Shabazz Napier,1.6,32.6
Shai Gilgeous-Alexander,1.4,37.1
Shake Milton,2.0,32.5
Shaquille Harrison,1.0,29.6
Shaun Livingston,0.0,0.0
Shelvin Mack,1.0,32.2
Sindarius Thornwell,0.2,20.0
Skal Labissiere,0.4,44.4
Solomon Hill,2.2,32.3
Spencer Dinwiddie,2.2,36.8
Stanley Johnson,2.6,30.5
Stephen Curry,6.7,44.6
Sterling Brown,2.0,38.1
Steven Adams,0.0,0.0
Svi Mykhailiuk,1.9,32.9
T.J. Leaf,0.5,25.8
T.J. McConnell,0.5,40.0
T.J. Warren,3.6,43.5
Tahjere McCall,1.0,0.0
Taj Gibson,0.5,34.4
Taurean Prince,3.7,42.8
Terrance Ferguson,3.6,37.0
Terrence Jones,1.0,0.0
Terrence Ross,4.7,38.6
Terry Rozier,2.7,37.1
Thabo Sefolosha,1.4,42.9
Thaddeus Young,1.7,34.3
Theo Pinson,1.6,28.6
Thomas Bryant,1.2,36.4
Thomas Welsh,0.6,42.9
Thon Maker,2.3,33.1
Tim Frazier,1.1,44.4
Tim Hardaway Jr.,4.4,32.3
Timothe Luwawu-Cabarrot,2.2,32.7
Tobias Harris,3.5,38.2
Tomas Satoransky,1.8,39.7
Tony Bradley,-,-
Tony Parker,0.8,29.5
Tony Snell,2.6,40.0
Torrey Craig,2.4,31.7
Trae Young,1.6,36.8
Treveon Graham,3.5,30.9
Trevon Duval,0.3,100
Trevor Ariza,4.6,34.1
Trey Burke,1.5,33.7
Trey Lyles,2.8,25.6
Tristan Thompson,-,-
Troy Brown Jr.,1.0,32.1
Troy Caupain,0.5,50.0
Troy Daniels,2.6,36.6
Troy Williams,2.0,34.1
Tyler Cavanaugh,0.5,20.0
Tyler Davis,-,-
Tyler Dorsey,2.0,35.4
Tyler Johnson,4.2,34.7
Tyler Lydon,0.4,44.4
Tyler Ulis,-,-
Tyler Zeller,0.2,0.0
Tyreke Evans,1.6,38.7
Tyrone Wallace,0.3,23.5
Tyson Chandler,0.0,0.0
Tyus Jones,1.0,36.8
Udonis Haslem,1.0,0.0
Victor Oladipo,2.7,40.6
Vince Carter,3.4,39.5
Vincent Edwards,2.0,25.0
Wade Baldwin IV,0.2,0.0
Walt Lemon Jr.,0.8,40.0
Wayne Ellington,4.8,36.6
Wayne Selden,1.9,31.9
Wendell Carter Jr.,0.6,23.1
Wes Iwundu,1.1,37.0
Wesley Johnson,1.6,28.3
Wesley Matthews,4.3,40.1
Will Barton,2.8,38.8
Willie Cauley-Stein,0.0,100
Willy Hernangomez,0.6,37.8
Wilson Chandler,2.7,40.0
Yante Maten,0.0,-
Yogi Ferrell,1.2,37.2
Yuta Watanabe,0.9,14.3
Zach Collins,1.5,29.8
Zach LaVine,1.7,37.3
Zach Lofton,1.0,0.0
Zaza Pachulia,0.0,0.0
Zhaire Smith,2.0,33.3
