Player,GP,MIN,PTS,FGA,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,CS_3PA,CS_3P%,PP100Pos,AST %,REB %,USG %,Height,Pos,TEAM,Class
Dario Saric: 2016,81.0,26.3,12.8,11.4,41.1,4.2,31.1,6.3,2.2,2.3,0.7,0.4,5.0,54.0,2.2,29.5,2.4,5.5,3.7,32.6,23.3,14.5,11.7,24.0,82.0,PF,PHI,4
Darren Collison: 2016,68.0,30.3,13.2,10.5,47.6,2.6,41.7,2.2,4.6,1.7,1.0,0.1,4.2,52.4,3.7,46.4,0.0,7.1,1.6,47.3,21.9,24.3,3.9,19.5,72.0,PG,SAC,1
DeMarre Carroll: 2016,72.0,26.1,8.9,7.6,40.0,4.4,34.1,3.8,1.0,0.8,1.1,0.4,2.5,52.0,0.8,37.5,0.1,2.1,4.0,33.4,17.0,5.6,7.4,15.4,80.0,SF,TOR,0
Dennis Schroder: 2016,79.0,31.5,17.9,15.4,45.1,3.7,34.0,3.1,6.3,3.3,0.9,0.2,7.9,50.6,3.8,45.6,0.1,15.5,1.9,39.6,27.7,34.0,4.8,27.2,73.0,PG,ATL,6
Deron Williams: 2016,64.0,25.9,11.0,9.4,43.8,3.7,36.3,2.3,5.6,2.2,0.5,0.1,2.9,51.7,2.9,45.9,0.5,7.0,2.1,39.4,21.6,35.0,4.6,21.9,75.0,PG,CLE,1
Derrick Favors: 2016,50.0,23.7,9.5,8.3,48.7,0.2,30.0,6.1,1.1,1.2,0.9,0.8,5.2,55.8,2.9,37.2,3.0,0.2,0.2,30.0,20.6,7.9,13.5,20.4,82.0,PF,UTA,5
Dorian Finney-Smith: 2016,81.0,20.3,4.3,4.1,37.2,2.4,29.3,2.7,0.8,0.6,0.6,0.3,1.4,57.1,0.4,25.8,0.1,1.9,2.2,30.5,11.0,6.1,7.1,11.5,80.0,PF,DAL,0
Doug McDermott: 2016,66.0,22.8,9.0,7.5,44.7,3.2,37.0,2.7,0.9,0.6,0.2,0.1,2.5,56.0,1.8,44.6,0.4,1.6,3.0,37.8,19.4,6.0,5.8,16.2,80.0,SF,OKC,0
Dwight Howard: 2016,74.0,29.7,13.5,8.3,63.3,0.0,0.0,12.7,1.4,2.3,0.9,1.2,7.5,68.0,0.7,26.4,3.6,0.5,0.0,0.0,22.4,7.6,20.7,19.0,83.0,C,ATL,3
E'Twaun Moore: 2016,73.0,24.9,9.6,8.5,45.7,2.8,37.0,2.1,2.2,0.8,0.7,0.4,3.5,57.1,2.1,37.3,0.3,4.8,2.4,36.2,18.5,13.8,4.0,17.1,76.0,SG,NOP,0
