Player,Minutes,AST %,REB %,USG %
Jaylen Hoard,7.9,5.4,13.3,15.3
Jaylen Nowell,10.1,19.4,3.8,16.5
Jayson Tatum,34.3,14.3,9.6,28.0
Jeff Green,20.0,8.2,6.7,18.8
Jeff Teague,24.8,30.6,4.6,19.2
Jerami Grant,26.6,6.8,6.5,17.7
Jeremiah Martin,11.0,30.0,4.9,26.8
Jeremy Lamb,28.1,10.7,7.9,19.5
Jeremy Pargo,14.8,30.8,3.6,26.8
Jerian Grant,13.4,16.1,3.6,16.6
Jerome Robinson,15.5,12.3,6.0,15.5
Jevon Carter,16.3,12.9,6.1,12.7
Jimmy Butler,33.8,28.3,9.8,24.6
Joakim Noah,10.0,25.9,13.3,14.0
Joe Chealey,8.4,6.3,0.0,12.8
Joe Harris,30.8,10.0,6.5,17.9
Joe Ingles,29.7,24.4,6.4,14.8
Joel Embiid,29.5,17.8,18.7,31.5
John Collins,33.2,7.5,14.4,22.4
John Henson,15.0,13.3,13.4,16.0
John Konchar,9.5,16.1,12.2,9.7
Johnathan Motley,3.2,30.8,13.2,23.5
Johnathan Williams,12.0,6.4,16.5,10.0
Jonah Bolden,6.7,0.0,10.0,13.0
Jonas Valanciunas,26.4,10.9,19.7,21.1
Jonathan Isaac,28.8,7.4,11.5,18.1
Jordan Bell,8.8,9.0,14.9,15.9
Jordan Bone,5.3,23.5,3.9,17.1
Jordan Clarkson,24.0,13.0,5.3,25.4
Jordan McLaughlin,19.7,30.3,4.0,15.1
Jordan McRae,21.2,17.4,7.8,23.9
Jordan Poole,22.3,16.0,4.5,20.0
Josh Gray,11.4,15.4,4.5,13.7
Josh Hart,27.0,8.4,11.3,15.0
Josh Jackson,17.3,12.5,7.8,21.4
Josh Magette,4.7,23.8,7.1,22.6
Josh Okogie,25.0,8.9,8.1,14.8
Josh Reaves,7.1,15.8,4.6,16.1
Josh Richardson,30.8,13.8,4.9,20.0
Jrue Holiday,34.7,28.4,6.5,24.1
Juan Toscano-Anderson,20.9,14.4,9.3,12.5
Juancho Hernangomez,17.4,6.3,11.1,14.9
Julius Randle,32.5,15.8,14.2,27.1
Justin Anderson,10.7,9.9,8.8,16.2
Justin Holiday,25.0,6.8,6.2,13.0
Justin Jackson,16.1,6.7,7.1,15.0
Justin James,6.5,11.8,6.6,18.1
Justin Patton,4.8,11.1,10.6,19.4
Justin Robinson,5.4,19.4,5.7,13.3
Justin Wright-Foreman,11.3,29.2,5.4,22.5
Justise Winslow,32.0,18.3,9.8,19.0
Jusuf Nurkic,31.6,17.9,16.2,23.2
Juwan Morgan,6.4,5.3,10.0,10.1
KZ Okpala,5.2,7.7,9.8,10.2
Kadeem Allen,11.7,25.9,3.8,19.1
Karl-Anthony Towns,33.9,21.0,15.5,27.8
Kawhi Leonard,32.4,25.5,10.3,32.7
Keita Bates-Diop,16.9,6.4,7.8,15.6
Kelan Martin,16.0,7.1,8.5,17.1
Keldon Johnson,17.7,6.6,9.2,16.4
Kelly Olynyk,19.4,13.1,11.5,16.5
Kelly Oubre Jr.,34.5,6.6,9.2,21.9
Kemba Walker,31.1,23.2,6.0,26.8
Kendrick Nunn,29.3,18.2,4.6,23.6
Kenrich Williams,21.3,8.7,10.4,8.7
Kent Bazemore,24.8,7.7,8.1,17.1
Kentavious Caldwell-Pope,25.5,8.5,3.8,14.2
Kevin Hervey,5.2,19.2,8.8,18.9
Kevin Huerter,31.4,17.1,6.2,16.9
Kevin Knox II,17.9,7.6,7.2,17.2
Kevin Love,31.8,15.0,15.5,22.5
Kevin Porter Jr.,23.2,14.7,6.8,20.2
Kevon Looney,13.1,12.0,12.3,14.7
Khem Birch,19.2,7.9,11.5,10.1
Khris Middleton,29.9,21.2,9.4,26.0
Khyri Thomas,7.7,9.7,0.7,14.9
Kostas Antetokounmpo,4.0,10.0,7.3,9.6
Kris Dunn,24.9,19.8,7.3,14.5
Kristaps Porzingis,31.8,8.8,13.7,26.3
Ky Bowman,22.6,20.2,5.7,16.8
Kyle Alexander,6.7,0.0,9.1,7.9
Kyle Anderson,19.8,16.3,9.9,13.4
Kyle Guy,3.2,12.5,4.5,20.0
Kyle Korver,16.6,9.2,5.5,14.5
Kyle Kuzma,25.0,7.6,8.5,22.1
Kyle Lowry,36.2,30.9,6.6,22.5
Kyle O'Quinn,10.8,22.5,17.8,14.8
Kyrie Irving,32.9,33.1,7.5,31.8
LaMarcus Aldridge,33.1,11.7,11.0,23.6
Lance Thomas,14.0,7.8,7.0,13.0
Landry Shamet,27.4,9.0,3.2,13.2
Langston Galloway,25.8,8.9,4.3,14.9
Larry Nance Jr.,26.3,12.6,13.6,15.0
Lauri Markkanen,29.8,7.7,10.4,20.9
LeBron James,34.6,47.7,11.0,30.8
Lonnie Walker IV,16.2,9.9,6.7,18.3
Lonzo Ball,32.1,29.2,8.7,18.1
Lou Williams,28.7,29.4,4.9,27.1
Louis King,6.2,12.5,7.6,16.3
Luc Mbah a Moute,8.2,0.0,3.5,10.8
Luguentz Dort,22.8,4.5,4.9,13.9
Luka Doncic,33.6,45.4,13.2,35.5
Luka Samanic,16.1,18.2,9.6,17.9
Luke Kennard,32.9,18.8,5.4,19.3
Luke Kornet,15.5,8.2,7.5,16.3
Malcolm Brogdon,30.9,35.0,7.8,24.9
Malcolm Miller,5.8,8.2,4.7,9.0
Malik Beasley,22.0,9.3,5.9,20.8
Malik Monk,21.3,16.8,6.3,22.0
Malik Newman,3.7,0.0,0.0,57.1
Marc Gasol,26.4,17.3,11.2,13.3
Marco Belinelli,15.5,10.2,5.3,16.6
Marcus Morris Sr.,31.2,6.6,7.7,21.6
Marcus Smart,32.0,21.4,5.5,18.3
Marial Shayok,7.0,5.3,11.5,24.3
Mario Hezonja,16.4,8.0,9.6,13.5
Markelle Fultz,27.7,27.3,5.8,21.0
Markieff Morris,20.5,10.0,8.9,20.2
Marko Guduric,11.0,12.7,7.2,16.8
Marques Bolden,2.8,0.0,33.3,0.0
Marquese Chriss,20.3,15.0,14.8,18.4
Marvin Bagley III,25.7,5.0,14.0,24.8
Marvin Williams,19.5,7.6,7.8,12.0
Mason Plumlee,17.3,21.0,14.1,17.3
Matisse Thybulle,19.8,8.1,4.1,10.8
Matt Mooney,4.7,7.1,6.5,8.0
Matt Thomas,10.7,7.6,6.0,15.2
Matthew Dellavedova,14.4,29.7,4.5,12.8
Maurice Harkless,23.0,6.2,7.9,10.5
Max Strus,3.1,0.0,6.3,15.8
Maxi Kleber,25.5,6.5,9.5,13.4
Melvin Frazier Jr.,6.6,3.9,3.8,12.9
Meyers Leonard,20.3,7.5,12.6,12.1
Mfiondu Kabengele,5.4,5.0,8.9,24.2
Michael Carter-Williams,18.5,19.2,8.4,17.5
Michael Frazier II,11.1,2.1,3.3,11.5
Michael Kidd-Gilchrist,11.2,7.7,10.7,13.4
Michael Porter Jr.,16.4,7.4,14.1,21.1
Mikal Bridges,28.0,8.6,7.0,12.5
Mike Conley,29.0,23.6,5.4,22.3
Mike Muscala,12.2,10.6,9.2,16.0
Mike Scott,17.8,6.4,9.9,13.2
Miles Bridges,30.7,9.2,8.8,19.6
Mitchell Robinson,23.2,3.9,14.1,12.9
Miye Oni,10.9,5.1,8.0,14.6
Mo Bamba,14.2,7.7,15.5,16.3
Monte Morris,22.4,21.9,4.0,16.8
Montrezl Harrell,27.8,10.2,11.6,24.5
Moritz Wagner,18.6,10.0,12.9,17.9
Moses Brown,3.6,4.8,18.7,20.0
Mychal Mulder,29.1,5.3,5.7,16.5
Myles Turner,29.4,5.7,10.9,18.0
Nassir Little,11.9,5.0,8.4,13.1
Naz Mitrou-Long,9.4,25.0,6.1,17.7
Naz Reid,16.5,10.6,11.5,23.4
Nemanja Bjelica,27.9,14.1,11.5,16.7
Nerlens Noel,18.5,7.9,13.0,14.8
Nickeil Alexander-Walker,12.6,21.2,6.8,23.3
Nicolas Batum,23.0,17.3,9.7,9.3
Nicolas Claxton,12.5,14.2,10.1,14.4
Nicolo Melli,17.4,11.2,8.2,15.8
Nigel Williams-Goss,5.0,15.8,5.4,16.1
Nikola Jokic,32.0,35.0,15.5,26.6
Nikola Vucevic,32.2,18.2,16.7,25.8
Noah Vonleh,10.5,11.5,14.3,13.5
Norman Powell,28.4,9.5,5.9,21.0
Norvel Pelle,9.7,4.9,14.9,13.1
OG Anunoby,29.9,7.4,8.5,14.2
Omari Spellman,18.1,8.6,11.4,17.7
Oshae Brissett,7.1,7.4,8.7,14.5
Otto Porter Jr.,23.6,11.3,7.0,20.1
P.J. Tucker,34.3,6.1,8.9,8.7
P.J. Washington,30.3,11.5,8.7,18.4
PJ Dozier,14.2,21.6,6.6,19.9
Pascal Siakam,35.2,16.1,9.8,27.8
Pat Connaughton,18.6,11.5,10.0,11.8
Patrick Beverley,26.3,18.0,9.3,13.1
Patrick McCaw,24.5,11.8,4.5,9.3
Patrick Patterson,13.2,7.5,9.0,14.3
Patty Mills,22.5,11.2,3.5,19.3
Paul George,29.6,20.5,9.1,29.2
Paul Millsap,24.3,9.3,11.8,19.7
Paul Watson,8.7,10.7,8.8,14.2
Quinn Cook,11.5,13.9,4.6,20.1
Quinndary Weatherspoon,7.1,18.3,4.1,10.7
RJ Barrett,30.4,12.7,7.8,23.4
Rajon Rondo,20.5,34.0,7.0,18.4
Raul Neto,12.4,21.8,4.4,18.1
Rayjon Tucker,8.1,4.3,6.1,15.2
Reggie Bullock,23.6,8.7,4.9,15.3
Reggie Jackson,24.0,26.3,6.0,22.9
Richaun Holmes,28.2,5.0,14.5,15.6
Ricky Rubio,31.0,37.7,7.5,19.9
Robert Covington,30.5,5.9,10.2,16.9
Robert Williams III,13.4,9.9,15.8,13.5
Robin Lopez,14.5,6.8,7.4,16.1
Rodions Kurucs,14.5,10.5,8.8,14.2
Rodney Hood,29.5,6.8,5.4,13.7
Rodney McGruder,15.6,5.5,7.9,10.1
Romeo Langford,11.6,4.5,5.2,11.3
Rondae Hollis-Jefferson,18.7,14.1,11.6,16.4
Royce O'Neale,28.9,11.6,9.4,9.5
Rudy Gay,21.8,11.6,11.7,21.1
Rudy Gobert,34.3,6.5,19.5,16.2
Rui Hachimura,30.1,8.8,10.1,18.9
Russell Westbrook,36.0,34.0,10.0,33.0
Ryan Anderson,7.0,16.7,28.0,24.2
Ryan Arcidiacono,16.0,14.3,5.6,12.1
Ryan Broekhoff,10.6,8.3,11.2,15.5
Sekou Doumbouya,19.8,3.7,7.9,16.4
Semi Ojeleye,14.6,5.1,6.6,9.4
Serge Ibaka,27.0,8.6,14.2,23.6
Seth Curry,24.6,11.7,4.3,17.6
Shabazz Napier,24.0,29.5,5.6,19.7
Shai Gilgeous-Alexander,34.7,14.8,8.5,23.5
Shake Milton,20.1,18.2,5.5,18.6
Shamorie Ponds,2.6,40.0,6.3,22.2
Shaquille Harrison,11.3,14.7,8.7,17.6
Sindarius Thornwell,17.7,14.3,7.1,17.6
Skal Labissiere,17.2,10.6,13.1,13.9
Solomon Hill,18.4,12.4,7.3,13.5
Spencer Dinwiddie,31.2,34.4,5.1,28.7
Stanley Johnson,6.0,20.0,10.5,21.4
Stanton Kidd,3.8,10.0,9.1,13.9
Stephen Curry,27.9,35.5,8.4,28.6
Sterling Brown,14.7,9.4,10.5,16.2
Steven Adams,26.7,12.8,17.3,16.8
Svi Mykhailiuk,22.6,12.0,4.1,16.5
T.J. Leaf,7.9,5.7,13.6,18.0
T.J. McConnell,18.7,35.4,6.9,16.7
T.J. Warren,32.9,7.2,6.3,22.9
Tacko Fall,4.6,6.7,21.1,25.0
Taj Gibson,16.5,7.7,12.6,14.5
Talen Horton-Tucker,13.5,10.7,3.9,18.0
Tariq Owens,5.1,0.0,8.8,17.1
Taurean Prince,29.0,9.0,9.3,20.0
Terance Mann,8.8,20.9,7.0,12.3
Terence Davis,16.8,14.0,9.0,18.1
Terrance Ferguson,22.5,5.5,2.9,9.2
Terrence Ross,27.4,7.2,5.4,21.6
Terry Rozier,34.4,20.9,6.2,23.2
Thabo Sefolosha,10.6,7.4,9.6,10.0
Thaddeus Young,24.9,11.3,9.7,19.2
Thanasis Antetokounmpo,6.4,17.4,8.3,20.2
Theo Pinson,11.1,24.0,6.4,21.8
Thomas Bryant,24.9,10.7,13.9,18.5
Thon Maker,12.9,8.8,11.0,16.0
Tim Frazier,13.1,39.1,4.7,17.1
Tim Hardaway Jr.,29.5,9.6,5.1,20.4
Timothe Luwawu-Cabarrot,18.1,5.2,6.5,16.2
Tobias Harris,34.3,14.5,9.9,23.6
Tomas Satoransky,28.9,26.9,6.9,16.5
Tony Bradley,11.4,5.1,19.2,14.7
Tony Snell,27.8,11.0,3.4,11.0
Torrey Craig,18.5,6.1,8.8,12.3
Trae Young,35.3,42.3,5.7,33.9
Tremont Waters,10.8,19.5,4.6,23.2
Treveon Graham,16.9,6.9,7.4,13.0
Trevor Ariza,28.2,8.1,8.0,11.7
Trey Burke,15.8,23.4,4.8,19.6
Trey Lyles,20.2,7.2,14.2,13.6
Tristan Thompson,30.2,10.6,16.5,18.1
Troy Brown Jr.,25.8,14.2,10.3,17.4
Troy Daniels,11.3,4.7,4.4,15.5
Ty Jerome,10.6,22.2,6.6,17.0
Tyler Cook,4.2,3.1,12.5,15.0
